objectName,reset,riskCategory1,riskCategory2,ratingCategory,ratingClassValue
42,All-Objects,Low,Low,ratingCategory1,1
151,All-Objects,Low,Low,ratingCategory1,1
68,All-Objects,Low,Low,ratingCategory1,1
80,All-Objects,Moderate,Low,ratingCategory2,2
35,All-Objects,Moderate,Low,ratingCategory2,2
123,All-Objects,Moderate,Low,ratingCategory2,2
179,All-Objects,Moderate,Low,ratingCategory2,2
69,All-Objects,Moderate,Low,ratingCategory2,2
20,All-Objects,Moderate,Low,ratingCategory2,2
43,All-Objects,Moderate,Low,ratingCategory2,2
54,All-Objects,High,Low,ratingCategory3,3
45,All-Objects,High,Low,ratingCategory3,3
131,All-Objects,High,Low,ratingCategory3,3
181,All-Objects,High,Low,ratingCategory3,3
17,All-Objects,High,Low,ratingCategory3,3
41,All-Objects,High,Low,ratingCategory3,3
195,All-Objects,High,Low,ratingCategory3,3
92,All-Objects,High,Low,ratingCategory3,3
100,All-Objects,High,Low,ratingCategory3,3
108,All-Objects,High,Low,ratingCategory3,3
33,All-Objects,High,Low,ratingCategory3,3
53,All-Objects,High,Low,ratingCategory3,3
30,All-Objects,High,Low,ratingCategory3,3
78,All-Objects,High,Low,ratingCategory3,3
148,All-Objects,Low,High,ratingCategory3,3
157,All-Objects,Low,High,ratingCategory3,3
63,All-Objects,Low,High,ratingCategory3,3
198,All-Objects,Low,High,ratingCategory3,3
128,All-Objects,Moderate,High,ratingCategory5,5
