reset,year,championName,banNumber,year,teamTag,winningPercentage
All-Champion,2015,Rek Sai,56,2015,SKT,less than 50%
All-Champion,2015,Alistar,34,2015,SKT,less than 50%
All-Champion,2015,Maokai,30,2015,SKT,less than 50%
All-Champion,2015,Gragas,56,2015,SKT,less than 50%
All-Champion,2015,Rumble,28,2015,SKT,less than 50%
All-Champion,2015,Evelynn,26,2015,SKT,more than 50%
All-Champion,2015,Gnar,56,2015,SKT,more than 50%
All-Champion,2015,Corki,25,2015,SKT,more than 50%
All-Champion,2015,Nunu,23,2015,SKT,more than 50%
All-Champion,2015,JarvanIV,34,2015,SKT,more than 50%
All-Champion,2015,Rumble,13,2015,SKT,more than 50%
All-Champion,2015,Nautilus,9,2015,SKT,more than 50%
All-Champion,2015,Riranna,8,2015,SKT,more than 50%
All-Champion,2015,Talon,7,2015,SKT,more than 50%
All-Champion,2015,Lulu,13,2015,SKT,more than 50%
All-Champion,2015,Maokai,6,2015,SKT,more than 50%
All-Champion,2015,Varus,6,2015,SKT,more than 50%
All-Champion,2015,Corki,5,2015,SKT,more than 50%
All-Champion,2015,Gangplank,5,2015,SKT,more than 50%
All-Champion,2015,Ryze,5,2015,SKT,more than 50%
