championName,reset,banNumber,winningPercentage,year,teamTag
Ahri,All-Objects,1,less than 50%,2015,SKT
Alistar,All-Objects,1,less than 50%,2015,SKT
Braum,All-Objects,1,less than 50%,2015,SKT
Dia,All-Objects,1,less than 50%,2015,SKT
Corki,All-Objects,1,less than 50%,2015,SKT
Gr,All-Objects,1,less than 50%,2015,SKT
Kennen,All-Objects,1,less than 50%,2015,SKT
Rumble,All-Objects,1,less than 50%,2015,SKT
Rumble,All-Objects,1,less than 50%,2015,SKT
Sejuanni,All-Objects,1,less than 50%,2015,SKT
Yasuo,All-Objects,1,less than 50%,2015,SKT
Morga,All-Objects,2,less than 50%,2015,SKT
Rengar,All-Objects,2,less than 50%,2015,SKT
Sivir,All-Objects,2,less than 50%,2015,SKT
Elise,All-Objects,3,less than 50%,2015,SKT
Shyya,All-Objects,3,less than 50%,2015,SKT
TwistedFate,All-Objects,3,more than 50%,2015,SKT
Veigar,All-Objects,3,more than 50%,2015,SKT
Xerath,All-Objects,3,more than 50%,2015,SKT
KogMaw,All-Objects,4,more than 50%,2015,SKT
LeeSin,All-Objects,4,more than 50%,2015,SKT
Shen,All-Objects,4,more than 50%,2015,SKT
Jinx,All-Objects,5,more than 50%,2015,SKT
Azir,All-Objects,6,more than 50%,2015,SKT
Annie,All-Objects,7,more than 50%,2015,SKT
Fizz,All-Objects,7,more than 50%,2015,SKT
Jan,All-Objects,7,more than 50%,2015,SKT
Gangplank,All-Objects,8,more than 50%,2015,SKT
Maokai,All-Objects,8,more than 50%,2015,SKT
Nidalee,All-Objects,8,more than 50%,2015,SKT
Thresh,All-Objects,8,more than 50%,2015,SKT
Viktor,All-Objects,8,more than 50%,2015,SKT
Hecarim,All-Objects,9,more than 50%,2015,SKT
Urgot,All-Objects,10,more than 50%,2015,SKT
Ryze,All-Objects,12,more than 50%,2015,SKT
Kassadin,All-Objects,14,more than 50%,2015,SKT
Mordekaiser,All-Objects,14,more than 50%,2015,SKT
Gragas,All-Objects,17,more than 50%,2015,SKT
Kalista,All-Objects,31,more than 50%,2015,SKT
Leblanc,All-Objects,34,more than 50%,2015,SKT
Lulu,All-Objects,34,more than 50%,2015,SKT
RekSai,All-Objects,40,more than 50%,2015,SKT
