reset,year,championName,banNumber,year,teamTag,winningPercentage
All-Champion,2016,Elise,28,2017,SKT,more than 50%
All-Champion,2016,Alistar,32,2017,SKT,more than 50%
All-Champion,2017,LeeSin,28,2017,SKT,more than 50%
All-Champion,2017,Graves,24,2017,SKT,more than 50%
All-Champion,2017,Rengar,24,2017,SKT,less than 50%
All-Champion,2017,Ezreal,32,2017,SKT,more than 50%
All-Champion,2017,Khazix,20,2017,SKT,more than 50%
All-Champion,2017,Karma,17,2017,SKT,less than 50%
All-Champion,2017,Ashe,14,2017,SKT,more than 50%
All-Champion,2017,Nami,13,2017,SKT,more than 50%
All-Champion,2015,Rumble,13,2015,SKT,more than 50%
All-Champion,2015,Nautilus,9,2015,SKT,more than 50%
All-Champion,2015,Riranna,8,2015,SKT,more than 50%
All-Champion,2015,Talon,7,2015,SKT,more than 50%
All-Champion,2015,Lulu,13,2015,SKT,more than 50%
All-Champion,2015,Maokai,6,2015,SKT,more than 50%
All-Champion,2015,Varus,6,2015,SKT,more than 50%
All-Champion,2015,Corki,5,2015,SKT,more than 50%
All-Champion,2015,Gangplank,5,2015,SKT,more than 50%
All-Champion,2015,Ryze,5,2015,SKT,more than 50%
